Polish_name,Gmina,County,Voivodeship,German_name,Poland,Polish_name_clean,German_name_clean
Babimost,Babimost,Zielona Góra,Lubusz Voivodeship,Bomst,152,BABIMOST,BOMST
Barciany,Barciany,Kętrzyn,Warmian-Masurian Voivodeship,Barten,152,BARCIANY,BARTEN
Barczewo,Barczewo,Olsztyn,Warmian-Masurian Voivodeship,Wartenburg,152,BARCZEWO,WARTENBURG
Barlinek,Barlinek,Myślibórz,West Pomeranian Voivodeship,Berlinchen,152,BARLINEK,BERLINCHEN
Bartoszyce,,Bartoszyce,Warmian-Masurian Voivodeship,Bartenstein,152,BARTOSZYCE,BARTENSTEIN
Barwice,Barwice,Szczecinek,West Pomeranian Voivodeship,Bärwalde,152,BARWICE,BARWALDE
"Biała, Opole Voivodeship",Biała,Prudnik,Opole Voivodeship,Zülz,152,BIALA,ZULZ
Biała Piska,Biała Piska,Pisz,Warmian-Masurian Voivodeship,Bialla,152,BIALA PISKA,BIALLA
Biała Piska,Biała Piska,Pisz,Warmian-Masurian Voivodeship,Gehlenburg[a],152,BIALA PISKA,GEHLENBURG
Białogard,,Białogard,West Pomeranian Voivodeship,Belgard,152,BIALOGARD,BELGARD
Biały Bór,Biały Bór,Szczecinek,West Pomeranian Voivodeship,Baldenburg,152,BIALY BOR,BALDENBURG
"Biecz, Lubusz Voivodeship",Brody,Żary,Lubusz Voivodeship,Biet(z)sch,152,BIECZ,BIET(Z)SCH
Bielawa,,Dzierżoniów,Lower Silesian Voivodeship,Langenbielau,152,BIELAWA,LANGENBIELAU
Bielsko,,,,Bielitz[b],152,BIELSKO,BIELITZ
Bierutów,Bierutów,Oleśnica,Lower Silesian Voivodeship,Bernstadt an der Weide,152,BIERUTOW,BERNSTADT AN DER WEIDE
Bieżyce,Gubin,Krosno Odrzańskie,Lubusz Voivodeship,Groß Bösitz,152,BIEZYCE,GROSS BOSITZ
Biskupiec,Biskupiec,Olsztyn,Warmian-Masurian Voivodeship,Bischofsburg,152,BISKUPIEC,BISCHOFSBURG
Bisztynek,Bisztynek,Bartoszyce,Warmian-Masurian Voivodeship,Bischofstein,152,BISZTYNEK,BISCHOFSTEIN
Bobolice,Bobolice,Koszalin,West Pomeranian Voivodeship,Bublitz,152,BOBOLICE,BUBLITZ
Bobowicko,Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Bobelwitz,152,BOBOWICKO,BOBELWITZ
"Boczów, Lubusz Voivodeship",Torzym,Sulęcin,Lubusz Voivodeship,Bottschow,152,BOCZOW,BOTTSCHOW
Bogatynia,Bogatynia,Zgorzelec,Lower Silesian Voivodeship,Reichenau,152,BOGATYNIA,REICHENAU
Boguszów-Gorce,,Wałbrzych,Lower Silesian Voivodeship,Gottesberg-Rothenbach,152,BOGUSZOW-GORCE,GOTTESBERG-ROTHENBACH
Bolesławiec,,Bolesławiec,Lower Silesian Voivodeship,Bunzlau,152,BOLESLAWIEC,BUNZLAU
Boręty,Lichnowy,Malbork,Pomeranian Voivodeship,Barendt,152,BORETY,BARENDT
Borne Sulinowo,Borne Sulinowo,Szczecinek,West Pomeranian Voivodeship,Groß-Born,152,BORNE SULINOWO,GROSS-BORN
"Borowe, Lubusz Voivodeship",Iłowa,Żagań,Lubusz Voivodeship,Burau,152,BOROWE,BURAU
Braniewo,,Braniewo,Warmian-Masurian Voivodeship,Braunsberg,152,BRANIEWO,BRAUNSBERG
Brodnica,,Brodnica,Kuyavian-Pomeranian Voivodeship,Strasburg an der Drewenz,152,BRODNICA,STRASBURG AN DER DREWENZ
Brodnica,,Brodnica,Kuyavian-Pomeranian Voivodeship,Strasburg in Westpreußen,152,BRODNICA,STRASBURG IN WESTPREUSSEN
Brokęcino,Okonek,Złotów,Greater Poland Voivodeship,Bahrenbusch,152,BROKECINO,BAHRENBUSCH
"Brójce, Lubusz Voivodeship",Trzciel,Międzyrzecz,Lubusz Voivodeship,Brätz,152,BROJCE,BRATZ
"Brożek, Lubusz Voivodeship",,,,Forst-Scheuno,152,BROZEK,FORST-SCHEUNO
Brzeg,,Brzeg,Opole Voivodeship,Brieg,152,BRZEG,BRIEG
Brześć Kujawski,Brześć Kujawski,Włocławek,Kuyavian-Pomeranian Voivodeship,Brest,152,BRZESC KUJAWSKI,BREST
Brześć Kujawski,Brześć Kujawski,Włocławek,Kuyavian-Pomeranian Voivodeship,Kujawisch Brest,152,BRZESC KUJAWSKI,KUJAWISCH BREST
"Brzózka, Lubusz Voivodeship",Krosno Odrzańskie,Krosno Odrzańskie,Lubusz Voivodeship,Braschen,152,BRZOZKA,BRASCHEN
Brzozowy Ług,Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Johanneshof,152,BRZOZOWY LUG,JOHANNESHOF
Budziechów,Jasień,Żary,Lubusz Voivodeship,Baudach,152,BUDZIECHOW,BAUDACH
"Bukowiec, Lubusz Voivodeship",Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Bauchwitz,152,BUKOWIEC,BAUCHWITZ
"Bukówka, Lower Silesian Voivodeship",Lubawka,Kamienna Góra,Lower Silesian Voivodeship,Buchwald,152,BUKOWKA,BUCHWALD
Bydgoszcz,,,Kuyavian-Pomeranian Voivodeship,Bromberg,152,BYDGOSZCZ,BROMBERG
"Buszów, Strzelce-Drezdenko County",Strzelce Krajeńskie,Strzelce-Drezdenko,Lubusz Voivodeship,Büssow,152,BUSZOW,BUSSOW
Bytom,,,Silesian Voivodeship,Beuthen in Oberschlesien,152,BYTOM,BEUTHEN IN OBERSCHLESIEN
Bytom Odrzański,Bytom Odrzański,Nowa Sól,Lubusz Voivodeship,Beuthen an der Oder,152,BYTOM ODRZANSKI,BEUTHEN AN DER ODER
Cedynia,Cedynia,Gryfino,West Pomeranian Voivodeship,Zehden,152,CEDYNIA,ZEHDEN
Chichy,Małomice,Żagań,Lubusz Voivodeship,Kunzendorf,152,CHICHY,KUNZENDORF
Chełmno,,Chełmno,Kuyavian-Pomeranian Voivodeship,Kulm,152,CHELMNO,KULM
Chełmża,,Toruń,Kuyavian-Pomeranian Voivodeship,Kulmsee,152,CHELMZA,KULMSEE
"Chlebowo, Lubusz Voivodeship",Gubin,Krosno Odrzańskie,Lubusz Voivodeship,Niemaschkleba,152,CHLEBOWO,NIEMASCHKLEBA
Chociule,Świebodzin,Świebodzin,Lubusz Voivodeship,Kutschlau,152,CHOCIULE,KUTSCHLAU
Chociwel,Chociwel,Stargard,West Pomeranian Voivodeship,Freienwalde in Pommern,152,CHOCIWEL,FREIENWALDE IN POMMERN
Chodzież,,Chodzież,Greater Poland Voivodeship,Chodziesen,152,CHODZIEZ,CHODZIESEN
Chodzież,,Chodzież,Greater Poland Voivodeship,Kolmar in Posen,152,CHODZIEZ,KOLMAR IN POSEN
Chojna,Chojna,Gryfino,West Pomeranian Voivodeship,Königsberg in der Neumark,152,CHOJNA,KONIGSBERG IN DER NEUMARK
Chorzów,,,Silesian Voivodeship,Königshütte,152,CHORZOW,KONIGSHUTTE
Choszczno,Choszczno,Choszczno,West Pomeranian Voivodeship,Arnswalde,152,CHOSZCZNO,ARNSWALDE
Chrzanów,Gmina Chrzanów,Chrzanów,Lesser Poland Voivodeship,Krenau[c],152,CHRZANOW,KRENAU
Chwaliszowice,Trzebiel,Żary,Lubusz Voivodeship,Quolsdorf,152,CHWALISZOWICE,QUOLSDORF
Ciechocinek,,Aleksandrów,Kuyavian-Pomeranian Voivodeship,Hermannsbad,152,CIECHOCINEK,HERMANNSBAD
Cieszyn,,Cieszyn,Silesian Voivodeship,Teschen,152,CIESZYN,TESCHEN
"Cieszyno, Łobez County",Węgorzyno,Łobez,West Pomeranian Voivodeship,Teschendorf,152,CIESZYNO,TESCHENDORF
"Cisów, Lubusz Voivodeship",Kożuchów,Nowa Sól,Lubusz Voivodeship,Zissendorf,152,CISOW,ZISSENDORF
Cybinka,Cybinka,Słubice,Lubusz Voivodeship,Ziebingen,152,CYBINKA,ZIEBINGEN
Czaplinek,Czaplinek,Drawsko,West Pomeranian Voivodeship,Tempelburg,152,CZAPLINEK,TEMPELBURG
Czarnków,,Czarnków-Trzcianka,Greater Poland Voivodeship,Czarniakau,152,CZARNKOW,CZARNIAKAU
Czarnków,,Czarnków-Trzcianka,Greater Poland Voivodeship,Scharnikau,152,CZARNKOW,SCHARNIKAU
Czarnogoździce,Krośnice,Milicz,Lower Silesian Voivodeship,Zwornogoschütz,152,CZARNOGOZDZICE,ZWORNOGOSCHUTZ
Czarnogoździce,Krośnice,Milicz,Lower Silesian Voivodeship,Hohenwarte (Schlesien)[d],152,CZARNOGOZDZICE,HOHENWARTE (SCHLESIEN)
Czarnożyły,Czarnożyły,Wieluń,Łódź Voivodeship,Czarnozyly,152,CZARNOZYLY,CZARNOZYLY
Czarnożyły,Czarnożyły,Wieluń,Łódź Voivodeship,Schwarzgrund[e],152,CZARNOZYLY,SCHWARZGRUND
Czatkowy,Tczew,Tczew,Pomeranian Voivodeship,Schattkau,152,CZATKOWY,SCHATTKAU
Czciradz,Kożuchów,Nowa Sól,Lubusz Voivodeship,Zyrus,152,CZCIRADZ,ZYRUS
"Czernina, Lower Silesian Voivodeship",Góra,Góra,Lower Silesian Voivodeship,Tschirnau,152,CZERNINA,TSCHIRNAU
"Czernina, Lower Silesian Voivodeship",Góra,Góra,Lower Silesian Voivodeship,Lesten[f],152,CZERNINA,LESTEN
Czernikowo,Czernikowo,Toruń,Kuyavian-Pomeranian Voivodeship,Schwarzendorf,152,CZERNIKOWO,SCHWARZENDORF
Czerwieńsk,Czerwieńsk,Zielona Góra,Lubusz Voivodeship,Rothenburg an der Oder,152,CZERWIENSK,ROTHENBURG AN DER ODER
Częstochowa,,,Silesian Voivodeship,Tschenstochau,152,CZESTOCHOWA,TSCHENSTOCHAU
Człopa,Człopa,Wałcz,West Pomeranian Voivodeship,Schloppe,152,CZLOPA,SCHLOPPE
"Dąbroszyn, Lubusz Voivodeship",Witnica,Gorzów,Lubusz Voivodeship,Tamsel,152,DABROSZYN,TAMSEL
Dąbrówka Tczewska,Tczew,Tczew,Pomeranian Voivodeship,Damerau,152,DABROWKA TCZEWSKA,DAMERAU
Dąbrówka Wielkopolska,Zbąszynek,Świebodzin,Lubusz Voivodeship,Groß Dammer,152,DABROWKA WIELKOPOLSKA,GROSS DAMMER
Dąbrówno,Dąbrówno,Ostróda,Warmian-Masurian Voivodeship,Gilgenburg,152,DABROWNO,GILGENBURG
Darłowo,,Sławno,West Pomeranian Voivodeship,Rügenwalde,152,DARLOWO,RUGENWALDE
Darłówko,,,,Rügenwaldermünde,152,DARLOWKO,RUGENWALDERMUNDE
Datyń,Brody,Żary,Lubusz Voivodeship,Datten,152,DATYN,DATTEN
Dębno,Dębno,Myślibórz,West Pomeranian Voivodeship,Neudamm,152,DEBNO,NEUDAMM
Dębowa Łęka,Wschowa,Wschowa,Lubusz Voivodeship,Geyersdorf,152,DEBOWA LEKA,GEYERSDORF
Długoszyn,Sulęcin,Sulęcin,Lubusz Voivodeship,Langenfeld,152,DLUGOSZYN,LANGENFELD
"Dobra, Opole Voivodeship",Strzeleczki,Krapkowice,Opole Voivodeship,Dobrau,152,DOBRA,DOBRAU
Dobre Miasto,Dobre Miasto,Olsztyn,Warmian-Masurian Voivodeship,Guttstadt[g],152,DOBRE MIASTO,GUTTSTADT
Dobrodzień,Dobrodzień,Olesno,Opole Voivodeship,Guttentag,152,DOBRODZIEN,GUTTENTAG
Dobrzany,Dobrzany,Stargard,West Pomeranian Voivodeship,Jascobshagen,152,DOBRZANY,JASCOBSHAGEN
Dobiegniew,Dobiegniew,Strzelce-Drezdenko,Lubusz Voivodeship,Woldenberg,152,DOBIEGNIEW,WOLDENBERG
Dolna Grupa,Dragacz,Świecie,Kuyavian-Pomeranian Voivodeship,Nieder Gruppe,152,DOLNA GRUPA,NIEDER GRUPPE
Drawno,Drawno,Choszczno,West Pomeranian Voivodeship,Neuwedell,152,DRAWNO,NEUWEDELL
Drawsko Pomorskie,Drawsko Pomorskie,Drawsko,West Pomeranian Voivodeship,Dramburg,152,DRAWSKO POMORSKIE,DRAMBURG
Drezdenko,Drezdenko,Strzelce-Drezdenko,Lubusz Voivodeship,Driesen,152,DREZDENKO,DRIESEN
Drogomin,Sulęcin,Sulęcin,Lubusz Voivodeship,Heinersdorf,152,DROGOMIN,HEINERSDORF
"Drzeńsko, Lubusz Voivodeship",Rzepin,Słubice,Lubusz Voivodeship,Drenzig,152,DRZENSKO,DRENZIG
"Drzewce, Lubusz Voivodeship",Torzym,Sulęcin,Lubusz Voivodeship,Leichholz,152,DRZEWCE,LEICHHOLZ
Drzonków,,Zielona Góra,Lubusz Voivodeship,Drentkau,152,DRZONKOW,DRENTKAU
Dziadoszyce,Kożuchów,Nowa Sól,Lubusz Voivodeship,Döringau,152,DZIADOSZYCE,DORINGAU
Działdowo,,Działdowo,Warmian-Masurian Voivodeship,Soldau,152,DZIALDOWO,SOLDAU
Dzierzgoń,Dzierzgoń,Sztum,Pomeranian Voivodeship,Christburg,152,DZIERZGON,CHRISTBURG
Dzierżoniów,,Dzierżoniów,Lower Silesian Voivodeship,Reichenbach,152,DZIERZONIOW,REICHENBACH
Dziwnów,Dziwnów,Kamień,West Pomeranian Voivodeship,Berg Dievenow,152,DZIWNOW,BERG DIEVENOW
Dźwirzyno,Kołobrzeg,Kołobrzeg,West Pomeranian Voivodeship,Kolberger Deep,152,DZWIRZYNO,KOLBERGER DEEP
Elbląg,,,Warmian-Masurian Voivodeship,Elbing,152,ELBLAG,ELBING
Ełk,,Ełk,Warmian-Masurian Voivodeship,Lyck,152,ELK,LYCK
Frombork,Frombork,Braniewo,Warmian-Masurian Voivodeship,Frauenberg,152,FROMBORK,FRAUENBERG
Gądków Wielki,Torzym,Sulęcin,Lubusz Voivodeship,Groß Gandern,152,GADKOW WIELKI,GROSS GANDERN
Gdańsk,,,Pomeranian Voivodeship,Danzig,152,GDANSK,DANZIG
"Gębice, Krosno Odrzańskie County",Gubin,Krosno Odrzańskie,Lubusz Voivodeship,Amtitz,152,GEBICE,AMTITZ
Giżycko,,Giżycko County,Warmian-Masurian Voivodeship,Lötzen,152,GIZYCKO,LOTZEN
Glińsk,Świebodzin,Świebodzin,Lubusz Voivodeship,Leimnitz,152,GLINSK,LEIMNITZ
"Glisno, Gmina Lubniewice",Lubniewice,Sulęcin,Lubusz Voivodeship,Gleißen,152,GLISNO,GLEISSEN
Gliwice,,,Silesian Voivodeship,Gleiwitz,152,GLIWICE,GLEIWITZ
Głogów,,Głogów,Lower Silesian Voivodeship,(Groß) Glogau,152,GLOGOW,(GROSS) GLOGAU
Głogówek,Głogówek,Prudnik,Opole Voivodeship,Oberglogau,152,GLOGOWEK,OBERGLOGAU
Głubczyce,Głubczyce,Głubczyce,Opole Voivodeship,Leobschütz,152,GLUBCZYCE,LEOBSCHUTZ
Głuchołazy,Głuchołazy,Nysa,Opole Voivodeship,Bad Ziegenhals,152,GLUCHOLAZY,BAD ZIEGENHALS
Głusko,Dobiegniew,Strzelce-Drezdenko,Lubusz Voivodeship,Steinbusch,152,GLUSKO,STEINBUSCH
Gniew,Gniew,Tczew,Pomeranian Voivodeship,Mewe,152,GNIEW,MEWE
Gniewkowo,Gniewkowo,Inowrocław,Kuyavian-Pomeranian Voivodeship,Argenau,152,GNIEWKOWO,ARGENAU
Gniezno,,Gniezno,Greater Poland Voivodeship,Gnesen,152,GNIEZNO,GNESEN
Golczewo,Golczewo,Kamień,West Pomeranian Voivodeship,Gülzow,152,GOLCZEWO,GULZOW
Gołdap,Gołdap,Gołdap,Warmian-Masurian Voivodeship,Goldap,152,GOLDAP,GOLDAP
Goleniów,Goleniów,Goleniów,West Pomeranian Voivodeship,Gullnow,152,GOLENIOW,GULLNOW
Górna Grupa,Dragacz,Świecie,Kuyavian-Pomeranian Voivodeship,Ober Gruppe,152,GORNA GRUPA,OBER GRUPPE
Górzno,Górzno,Brodnica,Kuyavian-Pomeranian Voivodeship,Görzbenz,152,GORZNO,GORZBENZ
Górowo Iławeckie,,Bartoszyce,Warmian-Masurian Voivodeship,Landsberg in Ostpreußen[g],152,GOROWO ILAWECKIE,LANDSBERG IN OSTPREUSSEN
Gorzów Wielkopolski,,,Lubusz Voivodeship,Landsberg an der Warthe[g],152,GORZOW WIELKOPOLSKI,LANDSBERG AN DER WARTHE
"Gorzyca, Lubusz Voivodeship",Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Ober Görzig,152,GORZYCA,OBER GORZIG
Gościkowo,Świebodzin,Świebodzin,Lubusz Voivodeship,Paradies,152,GOSCIKOWO,PARADIES
Gościno,Gościno,Kołobrzeg,West Pomeranian Voivodeship,Groß Jestin,152,GOSCINO,GROSS JESTIN
Gościnowo,Skwierzyna,Międzyrzecz,Lubusz Voivodeship,Alexandersdorf,152,GOSCINOWO,ALEXANDERSDORF
Gozdnica,,Żagań,Lubusz Voivodeship,Freiwaldau,152,GOZDNICA,FREIWALDAU
"Gozdno, Lubusz Voivodeship",Lubsko,Żary,Lubusz Voivodeship,Heidehäuser,152,GOZDNO,HEIDEHAUSER
Gozdowice,Mieszkowice,Gryfino,West Pomeranian Voivodeship,Güstebiese,152,GOZDOWICE,GUSTEBIESE
Grabów nad Prosną,Grabów nad Prosną,Ostrzeszów,Greater Poland Voivodeship,Altwerder[h],152,GRABOW NAD PROSNA,ALTWERDER
"Grabowo, Stargard County",Stargard,Stargard,West Pomeranian Voivodeship,Buchholz,152,GRABOWO,BUCHHOLZ
Groblice,Siechnice,Wrocław,Lower Silesian Voivodeship,Grebelwitz,152,GROBLICE,GREBELWITZ
Grodków,Grodków,Brzeg,Opole Voivodeship,Grottkau,152,GRODKOW,GROTTKAU
"Grodziszcze, Świebodzin County",Świebodzin,Świebodzin,Lubusz Voivodeship,Gräditz,152,GRODZISZCZE,GRADITZ
"Grodziszcze, Żary County",Brody,Żary,Lubusz Voivodeship,Grötzsch,152,GRODZISZCZE,GROTZSCH
Grudziądz,,,Kuyavian-Pomeranian Voivodeship,Graudenz,152,GRUDZIADZ,GRAUDENZ
Gryfice,Gryfice,Gryfice,West Pomeranian Voivodeship,Greifenberg in Pommern,152,GRYFICE,GREIFENBERG IN POMMERN
Gryfino,Gryfino,Gryfino,West Pomeranian Voivodeship,Greifenhagen,152,GRYFINO,GREIFENHAGEN
Grzędzice,Stargard,Stargard,West Pomeranian Voivodeship,Seefeld,152,GRZEDZICE,SEEFELD
"Grzybowo, Giżycko County",,,,Grzybowen[j],152,GRZYBOWO,GRZYBOWEN
"Grzybowo, Giżycko County",,,,Birkensee,152,GRZYBOWO,BIRKENSEE
"Grzybowo, West Pomeranian Voivodeship",Kołobrzeg,Kołobrzeg,West Pomeranian Voivodeship,Gribow,152,GRZYBOWO,GRIBOW
"Gubin, Poland",,Krosno Odrzańskie,Lubusz Voivodeship,Guben,152,GUBIN,GUBEN
"Gutkowo, Warmian-Masurian Voivodeship",Jonkowo,Olsztyn,Warmian-Masurian Voivodeship,Göttkendorf[k],152,GUTKOWO,GOTTKENDORF
"Hel, Poland",,Puck,Pomeranian Voivodeship,Hela,152,HEL,HELA
Iława,,Iława,Warmian-Masurian Voivodeship,Deutsch Eylau,152,ILAWA,DEUTSCH EYLAU
Iłowa,Iłowa,Żagań,Lubusz Voivodeship,Halbau,152,ILOWA,HALBAU
Ińsko,Ińsko,Stargard,West Pomeranian Voivodeship,Nörenberg,152,INSKO,NORENBERG
Jabłonowo Pomorskie,Jabłonowo Pomorskie,Brodnica,Kuyavian-Pomeranian Voivodeship,Jablonowo,152,JABLONOWO POMORSKIE,JABLONOWO
Jabłonowo Pomorskie,Jabłonowo Pomorskie,Brodnica,Kuyavian-Pomeranian Voivodeship,Goßlershausen[l],152,JABLONOWO POMORSKIE,GOSSLERSHAUSEN
Jałowice,Brody,Żary,Lubusz Voivodeship,Jaulitz,152,JALOWICE,JAULITZ
"Janiszowice, Żary County",Brody,Żary,Lubusz Voivodeship,Jähnsdorf,152,JANISZOWICE,JAHNSDORF
Jarkowice,Lubawka,Kamienna Góra,Lower Silesian Voivodeship,Hermsdorf Städtisch,152,JARKOWICE,HERMSDORF
"Jaroty, Gmina Stawiguda",,Olsztyn,Warmian-Masurian Voivodeship,Jomendorf[k],152,JAROTY,JOMENDORF
"Jasień, Lubusz Voivodeship",Jasień,Żary,Lubusz Voivodeship,Gassen,152,JASIEN,GASSEN
Jastrowie,Jastrowie,Złotów,Greater Poland Voivodeship,Jastrow,152,JASTROWIE,JASTROW
Jawor,,Jawor,Lower Silesian Voivodeship,Jauer,152,JAWOR,JAUER
Jelenia Góra,,,Lower Silesian Voivodeship,Hirschberg im Riesengeberge,152,JELENIA GORA,HIRSCHBERG IM RIESENGEBERGE
"Jeziory, Lubusz Voivodeship",Świebodzin,Świebodzin,Lubusz Voivodeship,Jehser,152,JEZIORY,JEHSER
Jeziory Dolne,Brody,Żary,Lubusz Voivodeship,Nieder Jeser,152,JEZIORY DOLNE,NIEDER JESER
Jeziorany,Jeziorany,Olsztyn,Warmian-Masurian Voivodeship,Seeburg,152,JEZIORANY,SEEBURG
"Jordanowo, Lubusz Voivodeship",Świebodzin,Świebodzin,Lubusz Voivodeship,Jordan,152,JORDANOWO,JORDAN
Kaława,Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Kalau,152,KALAWA,KALAU
Kalisz Pomorski,Kalisz Pomorski,Drawsko,West Pomeranian Voivodeship,Kallies,152,KALISZ POMORSKI,KALLIES
Kalsko,Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Kalzig,152,KALSKO,KALZIG
Kamień Pomorski,Kamień Pomorski,,West Pomeranian Voivodeship,Cammin,152,KAMIEN POMORSKI,CAMMIN
Kamienna Góra,,Kamienna Góra,Lower Silesian Voivodeship,Landeshut,152,KAMIENNA GORA,LANDESHUT
Kargowa,Kargowa,Zielona Góra,Lubusz Voivodeship,Unruhstadt,152,KARGOWA,UNRUHSTADT
Karlino,Karlino,Białogard,West Pomeranian Voivodeship,Körlin an der Persante,152,KARLINO,KORLIN AN DER PERSANTE
Katowice,,,Silesian Voivodeship,Kattowitz,152,KATOWICE,KATTOWITZ
Kąty Rybackie,Sztutowo,Nowy Dwór Gdański,Pomeranian Voivodeship,Bodenwinkel,152,KATY RYBACKIE,BODENWINKEL
Kąty Wrocławskie,Kąty Wrocławskie,Wrocław,Lower Silesian Voivodeship,Kanth,152,KATY WROCLAWSKIE,KANTH
Kąty Wrocławskie,Kąty Wrocławskie,Wrocław,Lower Silesian Voivodeship,Canth[m],152,KATY WROCLAWSKIE,CANTH
Kędzierzyn-Koźle,,Kędzierzyn-Koźle,Opole Voivodeship,Kandrzin-Cosel,152,KEDZIERZYN-KOZLE,KANDRZIN-COSEL
"Kępsko, Lubusz Voivodeship",Świebodzin,Świebodzin,Lubusz Voivodeship,Schönborn,152,KEPSKO,SCHONBORN
Kęszyca,Międzyrzecz,Międzyrzecz,Lubusz Voivodeship,Kainscht,152,KESZYCA,KAINSCHT
Kętrzyn,,Kętrzyn,Warmian–Masurian Voivodeship,Rastenburg[g],152,KETRZYN,RASTENBURG
Klępino,Stargard,Stargard,West Pomeranian Voivodeship,Klempin,152,KLEPINO,KLEMPIN
Klępsk,Sulechów,Zielona Góra,Lubusz Voivodeship,Klemzig,152,KLEPSK,KLEMZIG
Kłodzko,,Kłodzko,Lower Silesian Voivodeship,Glatz,152,KLODZKO,GLATZ
